mc,bm
直肠原位癌,D01.200
肛门原位癌,D01.300
肛管原位癌,D01.301
肠特指部位原位癌,D01.400
肠原位癌,D01.401
肝原位癌,D01.500
胆囊原位癌,D01.501
胆道原位癌,D01.502
壶腹原位癌,D01.503
消化器官特指部位原位癌,D01.700
胰腺原位癌,D01.701
消化器官原位癌,D01.900
喉原位癌,D02.000
会厌原位癌,D02.001
声带原位癌,D02.002
气管原位癌,D02.100
肺原位癌,D02.200
支气管原位癌,D02.201
呼吸系统特指部位原位癌,D02.300
鼻腔原位癌,D02.301
鼻旁窦原位癌,D02.302
中耳原位癌,D02.303
呼吸系统原位癌,D02.400
唇原位黑色素瘤,D03.000
眼睑(包括眦)原位黑色素瘤,D03.100
耳原位黑色素瘤,D03.200
外耳道原位黑色素瘤,D03.201
面部特指部位原位黑色素瘤,D03.300
头皮原位黑色素瘤,D03.400
颈部原位黑色素瘤,D03.401
躯干原位黑色素瘤,D03.500
乳房原位黑色素瘤,D03.501
肛门边缘原位黑色素瘤,D03.502
肛门皮肤原位黑色素瘤,D03.503
肛周原位黑色素瘤,D03.504
上肢原位黑色素瘤,D03.600
肩原位黑色素瘤,D03.601
下肢原位黑色素瘤,D03.700
髋原位黑色素瘤,D03.701
特指部位原位黑色素瘤,D03.800
原位黑色素瘤,D03.900
唇皮肤原位癌,D04.000
眼睑原位癌,D04.100
眦原位癌,D04.101
耳皮肤原位癌,D04.200
外耳道皮肤原位癌,D04.201
面特指部位皮肤原位癌,D04.300
头皮皮肤原位癌,D04.400
颈部皮肤原位癌,D04.401
躯干皮肤原位癌,D04.500
乳房皮肤原位癌,D04.501
肛门边缘皮肤原位癌,D04.502
肛门皮肤原位癌,D04.503
肛周皮肤原位癌,D04.504
上肢皮肤原位癌,D04.600
肩皮肤原位癌,D04.601
下肢皮肤原位癌,D04.700
髋皮肤原位癌,D04.701
皮肤特指部位原位癌,D04.800
皮肤原位癌,D04.900
乳腺小叶原位癌,D05.000
乳腺导管原位癌,D05.100
乳房特指部位原位癌,D05.700
乳腺原位癌,D05.900
宫颈内膜原位癌,D06.000
宫颈外膜原位癌,D06.100
宫颈特指部位原位癌,D06.700
宫颈原位癌,D06.900
子宫内膜原位癌,D07.000
外阴原位癌,D07.100
阴道原位癌,D07.200
特指女性生殖器官原位癌,D07.300
卵巢原位癌,D07.301
阴茎原位癌,D07.400
凯拉增殖性红斑,D07.401
前列腺原位癌,D07.500
特指男性生殖器官原位癌,D07.600
阴囊原位癌,D07.601
膀胱原位癌,D09.000
特指泌尿器官原位癌,D09.100
肾原位癌,D09.101
肾盂原位癌,D09.102
眼原位癌,D09.200
眼球原位癌,D09.201
角膜原位癌,D09.202
特指内分泌腺原位癌,D09.300
甲状腺原位癌,D09.301
垂体原位癌,D09.302
特指部位原位癌,D09.700
颊原位癌,D09.701
原位癌,D09.900
唇良性肿瘤,D10.000
舌良性肿瘤,D10.100
舌扁桃体良性肿瘤,D10.101
口底良性肿瘤,D10.200
口腔良性肿瘤,D10.300
口腔黏膜黑色素痣,D10.301
颊粘膜良性肿瘤,D10.302
腭良性肿瘤,D10.303
悬壅垂良性肿瘤,D10.304
牙槽良性肿瘤,D10.305
齿龈良性肿瘤,D10.306
磨牙后区良性肿瘤,D10.307
小涎腺良性肿瘤,D10.308
扁桃体良性肿瘤,D10.400
咽门扁桃体良性肿瘤,D10.401
腭扁桃体良性肿瘤,D10.402
特指口咽良性肿瘤,D10.500
扁桃体窝良性肿瘤,D10.501
扁桃体柱良性肿瘤,D10.502
会咽谷良性肿瘤,D10.503
鼻咽良性肿瘤,D10.600
鼻中隔后缘良性肿瘤,D10.601
鼻后孔良性肿瘤,D10.602
咽扁桃体良性肿瘤,D10.603
咽下部良性肿瘤,D10.700
咽良性肿瘤,D10.900
腮腺良性肿瘤,D11.000
腮腺多形性腺瘤,D11.001
特指大涎腺良性肿瘤,D11.700
颌下腺良性肿瘤,D11.701
舌下腺良性肿瘤,D11.702
大涎腺良性肿瘤,D11.900
盲肠良性肿瘤,D12.000
回盲部良性肿瘤,D12.001
阑尾良性肿瘤,D12.100
升结肠良性肿瘤,D12.200
横结肠良性肿瘤,D12.300
结肠肝曲良性肿瘤,D12.301
结肠脾曲良性肿瘤,D12.302
降结肠良性肿瘤,D12.400
乙状结肠良性肿瘤,D12.500
结肠良性肿瘤,D12.600
家族性息肉病,D12.601
结肠腺瘤样息肉病,D12.602
大肠良性肿瘤,D12.603
直肠乙状结肠连接处良性肿瘤,D12.700
直肠良性肿瘤,D12.800
肛门良性肿瘤,D12.900
肛管良性肿瘤,D12.901
食管良性肿瘤,D13.000
胃良性肿瘤,D13.100
贲门良性肿瘤,D13.101
十二指肠良性肿瘤,D13.200
特指小肠良性肿瘤,D13.300
小肠良性肿瘤,D13.301
空肠良性肿瘤,D13.302
回肠良性肿瘤,D13.303
麦克尔憩息良性肿瘤,D13.304
肝良性肿瘤,D13.400
肝内胆管良性肿瘤,D13.401
肝外胆管良性肿瘤,D13.500
胰良性肿瘤,D13.600
胰岛良性肿瘤,D13.700
胰岛细胞瘤,D13.701
消化系统良性肿瘤,D13.900
脾良性肿瘤,D13.901
肠良性肿瘤,D13.902
鼻腔良性肿瘤,D14.000
鼻旁窦良性肿瘤,D14.001
中耳良性肿瘤,D14.002
鼻前庭良性肿瘤,D14.003
鼻中隔良性肿瘤,D14.004
鼻软骨良性肿瘤,D14.005
鼻孔良性肿瘤,D14.006
鼻粘膜良性肿瘤,D14.007
内耳良性肿瘤,D14.008
喉良性肿瘤,D14.100
会厌良性肿瘤,D14.101
声带良性肿瘤,D14.102
声门良性肿瘤,D14.103
气管良性肿瘤,D14.200
肺良性肿瘤,D14.300
支气管良性肿瘤,D14.301
主支气管良性肿瘤,D14.302
呼吸系统良性肿瘤,D14.400
胸腺良性肿瘤,D15.000
心脏良性肿瘤,D15.100
心房良性肿瘤,D15.101
心室良性肿瘤,D15.102
心包良性肿瘤,D15.103
心肌良性肿瘤,D15.104
心内膜良性肿瘤,D15.105
心外膜良性肿瘤,D15.106
纵隔良性肿瘤,D15.200
胸腔内器官特指部位良性肿瘤,D15.700
胸膜良性肿瘤,D15.701
胸腔内器官良性肿瘤,D15.900
肩胛骨良性肿瘤,D16.000
上肢长骨良性肿瘤,D16.001
肱骨良性肿瘤,D16.002
桡骨良性肿瘤,D16.003
尺骨良性肿瘤,D16.004
掌骨良性肿瘤,D16.005
指骨良性肿瘤,D16.006
上肢短骨良性肿瘤,D16.100
腕骨良性肿瘤,D16.101
下肢长骨良性肿瘤,D16.200
股骨良性肿瘤,D16.201
胫骨良性肿瘤,D16.202
腓骨良性肿瘤,D16.203
跖骨良性肿瘤,D16.204
趾骨良性肿瘤,D16.205
下肢短骨良性肿瘤,D16.300
髌骨良性肿瘤,D16.301
跗骨良性肿瘤,D16.302
颅骨良性肿瘤,D16.400
面骨良性肿瘤,D16.401
蝶骨良性肿瘤,D16.402
筛骨良性肿瘤,D16.403
颞骨良性肿瘤,D16.404
顶骨良性肿瘤,D16.405
额骨良性肿瘤,D16.406
枕骨良性肿瘤,D16.407
眶骨良性肿瘤,D16.408
鼻骨良性肿瘤,D16.409
颧骨良性肿瘤,D16.410
上颌骨良性肿瘤,D16.411
下颌骨良性肿瘤,D16.500
脊柱良性肿瘤,D16.600
锁骨良性肿瘤,D16.700
胸骨良性肿瘤,D16.701
肋骨良性肿瘤,D16.702
耻骨良性肿瘤,D16.800
盆骨良性肿瘤,D16.801
骶骨良性肿瘤,D16.802
坐骨良性肿瘤,D16.803
尾骨良性肿瘤,D16.804
骨和关节软骨良性肿瘤,D16.900
头部脂肪瘤,D17.000
面部脂肪瘤,D17.001
颈部脂肪瘤,D17.002
躯干皮肤和皮下组织良性脂肪瘤样肿瘤,D17.100
会阴脂肪瘤,D17.101
四肢皮肤和皮下组织良性脂肪瘤样肿瘤,D17.200
特指皮肤和皮下组织良性脂肪瘤样肿瘤,D17.300
胸腔内器官良性脂肪瘤样肿瘤,D17.400
腹腔内器官良性脂肪瘤样肿瘤,D17.500
精索脂肪瘤,D17.600
特指部位良性脂肪瘤样肿瘤,D17.700
腹膜脂肪瘤,D17.701
腹膜后脂肪瘤,D17.702
脂肪瘤,D17.900
良性脂肪瘤样肿瘤,D17.901
血管瘤,D18.000
头部血管瘤,D18.001
脑血管瘤,D18.002
面部血管瘤,D18.003
颈部血管瘤,D18.004
躯干部血管瘤,D18.005
肢体血管瘤,D18.006
皮肤血管瘤,D18.007
生殖器官血管瘤,D18.008
肌内血管瘤,D18.009
动静脉血管瘤,D18.010
胸腔血管瘤,D18.011
腹腔血管瘤,D18.012
淋巴管瘤,D18.100
面部淋巴管瘤,D18.101
颈部淋巴管瘤,D18.102
躯干淋巴管瘤,D18.103
肢体淋巴管瘤,D18.104
胸腔淋巴管瘤,D18.105
腹腔淋巴管瘤,D18.106
盆腔淋巴管瘤,D18.107
生殖器官淋巴管瘤,D18.108
胸膜良性间皮瘤,D19.000
腹膜良性间皮瘤,D19.100
特指部位良性间皮瘤,D19.700
良性间皮瘤,D19.900
腹膜后良性肿瘤,D20.000
腹膜良性肿瘤,D20.100
网膜良性肿瘤,D20.101
肠系膜良性肿瘤,D20.102
头结缔组织良性肿瘤,D21.000
面部结缔组织良性肿瘤,D21.001
颈结缔组织良性肿瘤,D21.002
眼睑结缔组织良性肿瘤,D21.003
耳部结缔组织良性肿瘤,D21.004
上肢结缔组织良性肿瘤,D21.100
肩结缔组织良性肿瘤,D21.101
下肢结缔组织良性肿瘤,D21.200
髋结缔组织良性肿瘤,D21.201
胸部结缔组织良性肿瘤,D21.300
腋结缔组织良性肿瘤,D21.301
膈结缔组织良性肿瘤,D21.302
腹部结缔组织良性肿瘤,D21.400
腰部结缔组织良性肿瘤,D21.401
盆腔结缔组织良性肿瘤,D21.500
臀部结缔组织良性肿瘤,D21.501
腹股沟结缔组织良性肿瘤,D21.502
骶尾结缔组织良性肿瘤,D21.503
坐骨直肠窝结缔组织良性肿瘤,D21.504
尿道旁结缔组织良性肿瘤,D21.505
膀胱直肠结缔组织良性肿瘤,D21.506
阴道旁结缔组织良性肿瘤,D21.507
直肠阴道壁结缔组织良性肿瘤,D21.508
直肠旁结缔组织良性肿瘤,D21.509
躯干结缔组织良性肿瘤,D21.600
背部结缔组织良性肿瘤,D21.601
胁腹结缔组织良性肿瘤,D21.602
结缔组织良性肿瘤,D21.900
唇黑素细胞痣,D22.000
眼睑(包括眦)黑素细胞痣,D22.100
耳黑素细胞痣,D22.200
外耳道黑素细胞痣,D22.201
面部特指部位黑素细胞痣,D22.300
面黑素细胞痣,D22.301
鼻黑素细胞痣,D22.302
头皮黑素细胞痣,D22.400
颈黑素细胞痣,D22.401
躯干黑素细胞痣,D22.500
胸壁黑素细胞痣,D22.501
背黑素细胞痣,D22.502
乳房黑素细胞痣,D22.503
耻骨黑素细胞痣,D22.504
会阴黑素细胞痣,D22.505
肛门边缘黑素细胞痣,D22.506
肛门皮肤黑素细胞痣,D22.507
肛周黑素细胞痣,D22.508
上肢黑素细胞痣,D22.600
肩黑素细胞痣,D22.601
手黑素细胞痣,D22.602
下肢黑素细胞痣,D22.700
足黑素细胞痣,D22.701
髋黑素细胞痣,D22.702
特指部位间皮瘤,C45.700
肺间皮瘤,C45.701
纵隔间皮瘤,C45.702
胃间皮瘤,C45.703
肝间皮瘤,C45.704
结肠间皮瘤,C45.705
盆腔间皮瘤,C45.706
间皮瘤,C45.900
皮肤卡波西肉瘤,C46.000
软组织卡波西肉瘤,C46.100
腭卡波西肉瘤,C46.200
淋巴结卡波西肉瘤,C46.300
特指部位卡波西肉瘤,C46.700
肺卡波西肉瘤,C46.701
多器官卡波西肉瘤,C46.800
卡波西肉瘤,C46.900
头部周围神经自主神经恶性肿瘤,C47.000
面部周围神经自主神经恶性肿瘤,C47.001
颈部周围神经自主神经恶性肿瘤,C47.002
上肢周围神经自主神经恶性肿瘤,C47.100
肩部神经恶性肿瘤,C47.101
手神经恶性肿瘤,C47.102
下肢周围神经自主神经恶性肿瘤,C47.200
髋周围神经恶性肿瘤,C47.201
足周围神经恶性肿瘤,C47.202
胸部周围神经自主神经恶性肿瘤,C47.300
腹部周围神经自主神经恶性肿瘤,C47.400
盆腔周围神经自主神经恶性肿瘤,C47.500
腹股沟神经恶性肿瘤,C47.501
躯干周围神经自主神经恶性肿瘤,C47.600
周围神经自主神经系统交搭跨越恶性肿瘤,C47.800
周围神经自主神经恶性肿瘤,C47.900
腹膜后恶性肿瘤,C48.000
肾周恶性肿瘤,C48.001
肾上腺周围恶性肿瘤,C48.002
腹膜特指部位恶性肿瘤,C48.100
肠系膜恶性肿瘤,C48.101
结肠系膜恶性肿瘤,C48.102
盆腔腹膜恶性肿瘤,C48.103
网膜恶性肿瘤,C48.104
腹膜壁层恶性肿瘤,C48.105
腹膜恶性肿瘤,C48.200
腹膜腔恶性肿瘤,C48.201
腹膜后腔和腹膜交搭跨越恶性肿瘤,C48.800
头部结缔组织和软组织恶性肿瘤,C49.000
面部结缔组织和软组织恶性肿瘤,C49.001
颈部结缔组织和软组织恶性肿瘤,C49.002
睑结缔组织恶性肿瘤,C49.003
耳部结缔组织恶性肿瘤,C49.004
上肢结缔组织和软组织恶性肿瘤,C49.100
肩结缔组织恶和软组织性肿瘤,C49.101
肘结缔组织恶性肿瘤,C49.102
手结缔组织恶性肿瘤,C49.103
下肢结缔组织和软组织恶性肿瘤,C49.200
髋结缔组织和软组织恶性肿瘤,C49.201
足结缔组织恶性肿瘤,C49.202
胸部结缔组织和软组织恶性肿瘤,C49.300
腋下结缔组织恶性肿瘤,C49.301
膈结缔组织恶性肿瘤,C49.302
腹部结缔组织和软组织恶性肿瘤,C49.400
季肋部结缔组织恶性肿瘤,C49.401
下腔静脉恶性肿瘤,C49.402
盆腔结缔组织恶性肿瘤,C49.500
臀部结缔组织恶性肿瘤,C49.501
腹股沟结缔组织恶性肿瘤,C49.502
会阴结缔组织恶性肿瘤,C49.503
骶结缔组织恶性肿瘤,C49.504
直肠阴道隔结缔组织恶性肿瘤,C49.505
躯干结缔组织和软组织恶性肿瘤,C49.600
背部结缔组织恶性肿瘤,C49.601
结缔组织和软组织交搭跨越恶性肿瘤,C49.800
结缔组织和软组织恶性肿瘤,C49.900
淋巴管恶性肿瘤,C49.901
乳头恶性肿瘤,C50.000
乳晕恶性肿瘤,C50.001
乳房中央部恶性肿瘤,C50.100
乳房上内象限恶性肿瘤,C50.200
乳房下内象限恶性肿瘤,C50.300
乳房上外象限恶性肿瘤,C50.400
乳房下外象限恶性肿瘤,C50.500
乳房腋尾部恶性肿瘤,C50.600
乳房交搭跨越恶性肿瘤,C50.800
乳腺恶性肿瘤，上部,C50.801
乳腺恶性肿瘤，下部,C50.802
乳腺恶性肿瘤，内侧,C50.803
乳腺恶性肿瘤，外侧,C50.804
乳腺恶性肿瘤,C50.900
男性乳腺恶性肿瘤,C50.901
副乳腺恶性肿瘤,C50.902
大阴唇恶性肿瘤,C51.000
前庭大腺恶性肿瘤,C51.001
小阴唇恶性肿瘤,C51.100
阴蒂恶性肿瘤,C51.200
外阴交搭跨越恶性肿瘤,C51.800
外阴恶性肿瘤,C51.900
阴道恶性肿瘤,C52.x00
宫颈内膜恶性肿瘤,C53.000
外宫颈恶性肿瘤,C53.100
宫颈交搭跨越恶性肿瘤,C53.800
宫颈残端恶性肿瘤,C53.801
宫颈恶性肿瘤,C53.900
子宫峡部恶性肿瘤,C54.000
子宫下段恶性肿瘤,C54.001
子宫内膜恶性肿瘤,C54.100
子宫肌层恶性肿瘤,C54.200
子宫底恶性肿瘤,C54.300
子宫体交搭跨越恶性肿瘤,C54.800
子宫体恶性肿瘤,C54.900
子宫恶性肿瘤,C55.x00
卵巢恶性肿瘤,C56.x00
输卵管恶性肿瘤,C57.000
阔韧带恶性肿瘤,C57.100
卵巢冠恶性肿瘤,C57.101
圆韧带恶性肿瘤,C57.200
子宫旁组织恶性肿瘤,C57.300
子宫韧带恶性肿瘤,C57.301
子宫附件恶性肿瘤,C57.400
特指女性生殖器官恶性肿瘤,C57.700
沃尔夫体恶性肿瘤,C57.701
沃尔夫管恶性肿瘤,C57.702
女性生殖器官交搭跨越恶性肿瘤,C57.800
输卵管卵巢恶性肿瘤,C57.801
子宫卵巢恶性肿瘤,C57.802
阴道外阴恶性肿瘤,C57.803
女性生殖器官恶性肿瘤,C57.900
绒毛膜上皮癌,C58.x00
包皮恶性肿瘤,C60.000
阴茎头恶性肿瘤,C60.100
阴茎体恶性肿瘤,C60.200
海绵体恶性肿瘤,C60.201
阴茎交搭跨越恶性肿瘤,C60.800
阴茎恶性肿瘤,C60.900
阴茎皮肤恶性肿瘤,C60.901
前列腺恶性肿瘤,C61.x00
睾丸未降部恶性肿瘤,C62.000
异位睾丸恶性肿瘤,C62.001
睾丸下降部恶性肿瘤,C62.100
睾丸恶性肿瘤,C62.900
男性绒毛膜癌,C62.901
附睾恶性肿瘤,C63.000
精索恶性肿瘤,C63.100
阴囊恶性肿瘤,C63.200
阴囊皮肤恶性肿瘤,C63.201
特指男性生殖器官恶性肿瘤,C63.700
精囊恶性肿瘤,C63.701
鞘膜恶性肿瘤,C63.702
男性生殖器官交搭跨越恶性肿瘤,C63.800
阴茎阴囊恶性肿瘤,C63.801
男性生殖器官恶性肿瘤,C63.900
肾恶性肿瘤,C64.x00
肾盂恶性肿瘤,C65.x00
肾盂输尿管连接处恶性肿瘤,C65.x01
肾盏恶性肿瘤,C65.x02
输尿管恶性肿瘤,C66.x00
膀胱三角区恶性肿瘤,C67.000
膀胱顶恶性肿瘤,C67.100
膀胱侧壁恶性肿瘤,C67.200
膀胱前壁恶性肿瘤,C67.300
膀胱后壁恶性肿瘤,C67.400
膀胱颈恶性肿瘤,C67.500
尿道内口恶性肿瘤,C67.501
输尿管口恶性肿瘤,C67.600
脐尿管恶性肿瘤,C67.700
膀胱交搭跨越恶性肿瘤,C67.800
膀胱恶性肿瘤,C67.900
尿道恶性肿瘤,C68.000
尿道旁腺恶性肿瘤,C68.100
泌尿器官交搭跨越恶性肿瘤,C68.800
肾输尿管恶性肿瘤,C68.801
肾盂膀胱恶性肿瘤,C68.802
膀胱尿道恶性肿瘤,C68.803
输尿管膀胱恶性肿瘤,C68.804
肾盂输尿管恶性肿瘤,C68.805
泌尿器官恶性肿瘤,C68.900
结膜恶性肿瘤,C69.000
角膜恶性肿瘤,C69.100
视网膜恶性肿瘤,C69.200
脉络膜恶性肿瘤,C69.300
睫状体恶性肿瘤,C69.400
葡萄膜恶性肿瘤,C69.401
眼球恶性肿瘤,C69.402
泪腺和泪管恶性肿瘤,C69.500
泪腺恶性肿瘤,C69.501
泪囊恶性肿瘤,C69.502
鼻泪管恶性肿瘤,C69.503
眶内恶性肿瘤,C69.600
眶结缔组织恶性肿瘤,C69.601
眶周神经,C69.602
眼外肌恶性肿瘤,C69.603
眼球后组织恶性肿瘤,C69.604
眼和附器交搭跨越恶性肿瘤,C69.800
眼恶性肿瘤,C69.900
脑膜恶性肿瘤,C70.000
脊膜恶性肿瘤,C70.100
脑脊膜恶性肿瘤,C70.900
硬膜下恶性肿瘤,C70.901
大脑恶性肿瘤,C71.000
幕上恶性肿瘤,C71.001
丘脑恶性肿瘤,C71.002
胼胝体恶性肿瘤,C71.003
额叶恶性肿瘤,C71.100
颞叶恶性肿瘤,C71.200
顶叶恶性肿瘤,C71.300
枕叶恶性肿瘤,C71.400
脑室恶性肿瘤,C71.500
脉络丛恶性肿瘤,C71.501
小脑恶性肿瘤,C71.600
小脑蚓部恶性肿瘤,C71.601
小脑扁桃体恶性肿瘤,C71.602
脑干恶性肿瘤,C71.700
脑桥恶性肿瘤,C71.701
延髓恶性肿瘤,C71.702
第四脑室恶性肿瘤,C71.703
幕下恶性肿瘤,C71.704
中脑恶性肿瘤,C71.705
脑交搭跨越恶性肿瘤,C71.800
额顶叶恶性肿瘤,C71.801
额颞顶叶恶性肿瘤,C71.802
顶枕叶恶性肿瘤,C71.803
顶颞叶恶性肿瘤,C71.804
颞顶枕叶恶性肿瘤,C71.805
额颞叶恶性肿瘤,C71.806
颞叶脑岛恶性肿瘤,C71.807
颞枕叶恶性肿瘤,C71.808
桥脑小脑角恶性肿瘤,C71.809
脑恶性肿瘤,C71.900
鞍上区恶性肿瘤,C71.901
蝶鞍区恶性肿瘤,C71.902
脊髓恶性肿瘤,C72.000
脊髓颈段恶性肿瘤,C72.001
脊髓圆锥恶性肿瘤,C72.002
脊髓胸段恶性肿瘤,C72.003
脊髓腰段恶性肿瘤,C72.004
马尾恶性肿瘤,C72.100
嗅神经恶性肿瘤,C72.200
嗅球恶性肿瘤,C72.201
视神经恶性肿瘤,C72.300
听神经恶性肿瘤,C72.400
特指颅神经恶性肿瘤,C72.500
动眼神经恶性肿瘤,C72.501
滑车神经恶性肿瘤,C72.502
三叉神经恶性肿瘤,C72.503
外展神经恶性肿瘤,C72.504
面神经恶性肿瘤,C72.505
前庭蜗神经恶性肿瘤,C72.506
舌咽神经恶性肿瘤,C72.507
迷走神经恶性肿瘤,C72.508
副神经恶性肿瘤,C72.509
舌下神经恶性肿瘤,C72.510
脑和中枢神经系统特指部位交搭跨越恶性肿瘤,C72.800
中枢神经系统恶性肿瘤,C72.900
硬膜外恶性肿瘤,C72.901
甲状腺恶性肿瘤,C73.x00
肾上腺皮质恶性肿瘤,C74.000
肾上腺髓质恶性肿瘤,C74.100
肾上腺恶性肿瘤,C74.900
甲状旁腺恶性肿瘤,C75.000
垂体恶性肿瘤,C75.100
颅咽管恶性肿瘤,C75.200
松果体恶性肿瘤,C75.300
颈动脉体恶性肿瘤,C75.400
主动脉体恶性肿瘤,C75.500
节旁体恶性肿瘤,C75.501
特指累及多个腺体恶性肿瘤,C75.800
内分泌腺恶性肿瘤,C75.900
头部恶性肿瘤,C76.000
面部恶性肿瘤,C76.001
颈部恶性肿瘤,C76.002
颊恶性肿瘤,C76.003
鼻恶性肿瘤,C76.004
颔下恶性肿瘤,C76.005
颏下恶性肿瘤,C76.006
胸部恶性肿瘤,C76.100
腋恶性肿瘤,C76.101
腹部恶性肿瘤,C76.200
盆腔恶性肿瘤,C76.300
膀胱直肠隔恶性肿瘤,C76.301
骶恶性肿瘤,C76.302
会阴部恶性肿瘤,C76.303
腹股沟恶性肿瘤,C76.304
骶尾部恶性肿瘤,C76.305
臀部恶性肿瘤,C76.306
直肠阴道隔恶性肿瘤,C76.307
上肢恶性肿瘤,C76.400
肩恶性肿瘤,C76.401
手部恶性肿瘤,C76.402
下肢恶性肿瘤,C76.500
髋恶性肿瘤,C76.501
腘窝恶性肿瘤,C76.502
足恶性肿瘤,C76.503
特指不明确部位的恶性肿瘤,C76.700
躯干部恶性肿瘤,C76.701
背部恶性肿瘤,C76.702
特指部位交搭跨越恶性肿瘤,C76.800
不明确部位交搭跨越恶性肿瘤,C76.801
头部淋巴结继发恶性肿瘤,C77.000
